"permutations";"#UUIDs";"#classes";"#clone_configs"
"16_1_5_13_15_9_12_8_3_2_11_4_14_10_6_7";"11175";"5";"114"
"14_8_9_2_13_15_12_4_1_16_10_5_3_11_7_6";"11246";"5";"114"
"15_10_2_14_6_3_11_12_9_16_4_7_5_8_13_1";"11248";"5";"114"
"9_4_12_10_11_2_6_16_13_3_15_7_8_14_1_5";"11502";"6";"114"
"16_3_9_15_14_5_7_8_13_2_10_11_4_6_1_12";"11258";"5";"114"
"14_1_10_2_11_9_5_8_13_12_16_7_15_6_3_4";"11264";"5";"114"
"10_6_11_5_1_14_8_3_9_7_2_12_16_13_4_15";"11413";"6";"114"
"4_6_5_8_1_11_7_16_12_3_15_2_10_9_13_14";"11242";"5";"114"
"1_2_16_3_8_6_5_13_12_15_14_11_9_10_4_7";"11184";"5";"114"
"11_9_12_8_1_14_10_16_4_7_2_13_3_15_6_5";"11398";"5";"114"
"9_7_11_5_3_15_8_13_10_14_1_6_12_4_16_2";"11298";"5";"114"
"4_10_9_16_14_12_8_6_1_13_3_11_2_7_15_5";"11510";"6";"114"
"15_16_5_3_9_12_1_8_10_13_4_2_14_7_11_6";"11218";"5";"114"
"15_8_11_9_14_13_4_2_5_3_6_10_12_16_1_7";"11249";"5";"114"
"6_8_5_3_15_4_10_16_13_1_9_11_2_7_12_14";"11269";"5";"114"
"3_13_11_10_16_6_5_4_9_12_8_14_2_7_15_1";"11365";"5";"114"
"2_9_12_10_5_7_3_11_16_6_13_4_14_1_15_8";"11459";"5";"114"
"7_14_8_6_10_12_13_1_4_3_16_11_9_15_2_5";"11338";"5";"114"
"10_14_1_16_5_13_11_9_7_3_4_2_12_6_15_8";"11287";"5";"114"
"12_9_13_8_14_6_2_7_3_16_5_15_11_10_1_4";"11420";"5";"114"
"15_4_1_16_11_3_13_6_14_5_12_2_7_10_8_9";"11217";"5";"114"
"1_7_10_15_11_6_5_4_12_2_3_14_13_16_8_9";"11259";"5";"114"
"3_5_13_15_8_1_2_14_11_10_6_7_16_4_9_12";"11198";"5";"114"
"11_9_7_14_6_12_8_5_16_2_1_3_10_13_4_15";"11466";"5";"114"
"14_3_16_1_2_8_13_4_11_12_7_10_6_9_15_5";"11207";"5";"114"
"7_9_11_8_2_1_5_15_4_14_6_12_3_10_16_13";"11317";"5";"114"
"2_5_13_3_4_16_15_8_12_7_10_1_11_6_9_14";"11336";"5";"114"
"14_11_7_15_9_3_8_4_1_12_13_6_2_10_5_16";"11284";"5";"114"
"2_9_10_16_1_3_12_7_4_13_14_5_11_6_15_8";"11247";"5";"114"
