"permutations";"#UUIDs";"#classes";"#clone_configs"
"7_1_3_8_12_9";"12339";"2";"12"
"5_6_14_1_9";"9424";"0";"0"
"5_10_16_15_3_7_1_8_9_4";"12685";"2";"20"
"3_10_4_16_12_5_8_1_7_9_14_6";"11982";"1";"24"
"2_1_5_15_6_8_9";"9928";"0";"0"
"11_1_8_14";"11268";"1";"8"
"2_3_11_1_6_8_9_7";"11874";"2";"16"
"5_14_15_1_2_3_7_9_6_8_13_10";"12353";"2";"24"
"1_5";"8880";"0";"0"
"1_5";"8880";"0";"0"
"1_9_5_6";"9292";"0";"0"
"2_10_12_16_5_13_1_14_11_4";"11878";"2";"20"
"1_8_10_15_4_14_11";"12239";"2";"14"
"7_14_1_2_10_4_6_3_16";"12270";"2";"18"
"1_15";"9694";"0";"0"
"8_2_10_7_12_15_13_9_14_6_1";"11756";"0";"0"
"10_11_1_16_9_2";"11872";"2";"12"
"8_7_1_3_14_13_11_12";"12242";"2";"16"
"8_14_3_1_15_13_10_11_2";"12047";"2";"18"
"4_15_10_6_7_1";"11587";"1";"12"
"15_9_2_13_16_4_5_12_7_8_1";"12231";"2";"22"
"9_12_14_4_1_16_10_11_8_7_13_15_2_3";"12420";"2";"28"
"1_10";"7591";"0";"0"
"6_9_15_12_14_1";"11691";"0";"0"
"12_2_1_14_4_16_6_15";"12425";"2";"16"
"12_1_2";"11136";"0";"0"
"7_8_16_3_11_2_1_4_6_12_13_15_5_10";"11913";"2";"28"
"8_16_1_4_10_11_13";"11912";"2";"14"
"7_1_13";"9651";"0";"0"
"15_11_13_6_3_4_1_16_8";"11997";"2";"18"
"6_12_13_1_4";"11619";"2";"10"
"12_15_9_6_13_1_5_7_14_4_8_11";"12016";"2";"24"
"1_6_8_7_11_16";"12166";"2";"12"
"11_12_4_5_13_10_7_1_9_8_3_14";"11639";"1";"24"
"10_2_13_5_1_6_9_11_4_16";"11960";"2";"20"
"7_1";"9297";"0";"0"
"7_11_16_13_8_14_9_5_6_12_2_4_1_3_10";"12056";"2";"30"
"1_12_13_15_4_2_6_9_10_7_16_3_14_5_8";"12473";"2";"30"
"5_10_8_1_15";"10077";"0";"0"
"1_4";"10203";"2";"4"
"1";"6050";"0";"0"
"6_8_10_15_13_11_12_1_3";"12305";"2";"18"
"4_1_12";"11060";"1";"6"
"10_2_5_9_1_4_13_14_16_6_15";"12330";"2";"22"
"8_6_16_2_13_15_14_10_12_1";"11642";"0";"0"
"14_10_8_1_7";"9928";"0";"0"
"8_7_16_12_10_15_14_6_3_11_5_1_9";"12405";"2";"26"
"9_11_1";"10582";"2";"6"
"12_11_1_5_9";"12193";"2";"10"
"4_11_14_9_8_12_7_16_1_6_2_5_10_15";"11668";"1";"28"
"12_9_1_8_11_6_7";"12468";"2";"14"
"1_2_8";"8701";"0";"0"
"3_1_7_12_6";"11461";"1";"10"
"1_16_7_10_6_12_5_14_11_13";"11962";"2";"20"
"10_5_3_9_14_1_12_11";"12390";"2";"16"
"14_15_6_5_9_4_7_11_10_1";"11959";"2";"20"
"12_13_15_14_4_8_1_9";"12217";"2";"16"
"16_15_1_9_5_2_3_11_6";"11923";"2";"18"
"15_12_7_3_16_8_11_10_1_14";"11966";"2";"20"
"9_2_4_1_13";"11796";"2";"10"
"16_1";"9722";"0";"0"
"1";"6050";"0";"0"
"4_2_12_1_5_8_6_7_10_13";"11796";"1";"20"
