"permutations";"#UUIDs";"#classes";"#clone_configs"
"15_3_12_7_5_1_4_8_11_10_9_6";"11206";"5";"89"
"3_8_1";"10031";"4";"18"
"10_6_12_11_4_13_14_2_1_7";"11373";"6";"72"
"12_1_13";"11240";"5";"22"
"1_10_9_13";"9522";"3";"20"
"14_7_3_1_15_13_6_5";"11207";"5";"55"
"14_6_5_8_11_9_12_1";"11221";"5";"57"
"5_14_4_1_3_12";"11227";"5";"49"
"8_14_1_9";"9629";"3";"20"
"1_6";"8250";"2";"8"
"1_16_2_6_15_14_12_13_3_5";"11162";"5";"70"
"2_8_1_11";"10950";"5";"25"
"9_3_1_8_5_11_2_14_15_16_12";"11528";"6";"79"
"4_1_9_12_13_14_7_5_6_16";"11434";"6";"71"
"5_13_2_4_1_12_9_6_10_8_11_16";"11320";"5";"83"
"15_4_8_16_9_7_1_5";"11190";"5";"53"
"1_12";"10667";"5";"15"
"1_10_2";"7563";"2";"12"
"14_16_13_5_2_12_11_1_10_9";"11190";"5";"68"
"13_1_3_14_10_15_9_12";"11213";"5";"56"
"9_1_8_15_2";"9854";"4";"24"
"11_5_1_6_16_7_14_10_8";"11153";"5";"60"
"7_8_16_15_10_13_3_12_1_14_4";"11259";"5";"81"
"5_6_3_9_10_13_14_1_8_16_12_11_2_7";"11366";"5";"97"
"7_1_3";"10638";"5";"21"
"10_14_11_7_1_2_4_8_12_15_3";"11322";"5";"82"
"1";"6020";"2";"4"
"5_7_1_11";"10962";"5";"29"
"2_7_10_4_14_15_9_11_16_8_1_6_13_3_12";"11352";"5";"107"
"12_1";"10667";"5";"15"
"1";"6020";"2";"4"
"12_1_10_8_3_15_16";"11340";"5";"50"
"16_8_5_7_1_10";"9817";"3";"32"
"11_9_16_2_4_10_12_13_1";"11367";"5";"64"
"10_11_16_2_6_1_3_13_15_7_4_5_9_14_8";"11474";"5";"103"
"4_5_12_1";"11082";"5";"32"
"7_1_13_8_6_3_15_11";"11195";"5";"58"
"6_10_15_13_1_16";"10006";"4";"32"
"1_9_8_3_6";"10882";"4";"27"
"4_6_1_14";"10948";"5";"27"
"11_6_3_16_10_5_15_2_1_13_7_9_8";"11238";"5";"86"
"9_1_3_14_12_16";"11361";"6";"44"
"16_2_1_14_8_9";"9720";"3";"30"
"5_6_8_12_9_13_1_2_16_3_10_15_14_4_11";"11207";"5";"107"
"4_11_2_12_3_16_1_6_14_7_9_13_8_15_10";"11463";"5";"107"
"7_11_15_6_9_4_3_1_2";"11259";"5";"64"
"1";"6020";"2";"4"
"11_10_15_13_7_2_6_14_4_8_1_9_3";"11500";"5";"89"
"1_15_13";"9674";"3";"16"
"9_14_12_3_11_10_2_1_6_13_8_7";"11195";"5";"83"
"9_6_7_4_16_5_1_11_14_15_3_12";"11308";"6";"92"
"2_7_1_11_4_3_16_15_10_6_8_13_12_9_14";"11234";"5";"107"
"1_2";"6538";"2";"8"
"4_3_16_9_11_5_8_15_6_7_10_1_12";"11235";"5";"96"
"15_14_4_13_8_16_9_3_1_12_10_6_7_5_2";"11244";"5";"103"
"1_13_5";"9258";"3";"16"
"1";"6020";"2";"4"
"15_11_14_6_1_5_2";"11159";"5";"46"
"13_16_1_7_9_5_11_2_14_10_12_4";"11174";"5";"85"
"2_1_12_9_14";"11247";"5";"31"
"6_5_1";"8952";"3";"15"
"1_12_8_15_6_3_7_10_13_11_9";"11366";"5";"79"
"7_1_2_3_6_16_15_4_5_12_10";"11178";"5";"78"
"1_13_12_16_11_15_10_9_3_4";"11137";"5";"77"
"5_1_11_2_16_12_3_9_7_10_15_8_6_14";"11256";"5";"97"
"9_12_11_2_1_6_7_14_5_13_3";"11385";"5";"79"
"12_4_15_3_1_13_2_7";"11128";"5";"60"
"7_4_9_1_16_2";"11210";"5";"37"
"1_10_11_4_2";"10718";"5";"34"
"7_1_10_13_9_8";"9826";"3";"31"
"11_4_12_1";"10770";"5";"36"
"14_1_16_2_11_4";"11063";"5";"43"
"5_1_16_14_2_4";"11120";"5";"39"
"15_1_14";"9786";"3";"16"
"1";"6020";"2";"4"
"3_14_15_13_9_2_10_8_6_16_1";"11172";"5";"68"
"10_9_7_6_1_4_11_12_13_8_15_14";"11306";"5";"86"
"5_15_4_2_6_10_16_14_1_9_7";"11186";"5";"69"
"15_6_13_9_5_1_14_11_10_4_2_7_16_3_8";"11195";"5";"103"
"11_1_10_5_16_13";"11403";"5";"41"
"11_16_1_14_10_15_6_7";"11151";"5";"54"
"5_11_10_7_16_12_8_6_1";"11332";"5";"64"
"4_5_3_9_11_7_6_1_15_8_14_12_2_13_16";"11299";"5";"109"
"2_1_9";"7469";"2";"12"
"12_1_10_15_16_9_4_6_7_8_3_14_5_11_2";"11372";"5";"107"
"10_8_9_7_1_12_14_2_16";"11280";"6";"56"
"13_15_7_14_12_3_1_8_2_10_4";"11199";"5";"78"
