"permutations";"#UUIDs";"#classes";"#clone_configs"
"16_9_6_7_8_12_5_4_2_15_14_1";"23599";"1";"72"
"8_6_15_14_1_12_4";"23508";"1";"42"
"2_13_1";"22728";"1";"18"
"16_11_8_1_2";"22927";"1";"30"
"16_1";"20501";"1";"12"
"1_5";"21076";"1";"12"
"16_7_14_13_1";"22732";"1";"30"
"1_3_6_8_11_12_7_2_10_16_5_13_9_14_15";"23492";"1";"90"
"16_13_1_7_12_8_9_2";"22931";"1";"48"
"10_3_9_4_1_2";"23263";"1";"36"
"1_3_9_15_13_10_14_7_8";"23486";"1";"54"
"13_8_11_1_7_3_5_4_15_6_10_9_16_2_14";"23446";"1";"90"
"13_3_16_1_10_4_6_9_7_15_5_14_8";"23444";"1";"78"
"14_1_6_9";"22716";"1";"24"
"3_10_5_16_6_12_1_7_15_9_4_8_14";"23444";"1";"78"
"10_12_2_7_1";"22629";"1";"30"
"14_13_10_6_1_4_2_8_15_3_7_9";"23466";"1";"72"
"7_5_6_1_8_15_3_2_16_12_4_11_9_14_13";"23492";"1";"90"
"3_9_10_11_15_13_12_14_8_5_1";"23512";"1";"66"
"1_15_9_11_12_8_7_5_4_16_14_13_3";"23444";"1";"78"
"12_1_14_7_2_13_9";"22954";"1";"42"
"6_5_15_12_13_1_9_16_3_11_4_7_14";"23514";"1";"78"
"13_6_15_4_7_9_1_3_10_8_11_16_5";"23576";"1";"78"
"3_14_11_1_15_10_6_12_8_13_16_2_9";"23538";"1";"78"
"10_13_8_9_1_6_3_2_14_15";"23441";"1";"60"
"16_15_4_10_2_5_12_9_13_1";"23488";"1";"60"
"3_6_8_1_14_9_11_2";"23509";"1";"48"
"12_1_2";"22627";"1";"18"
"1";"19912";"1";"6"
"2_4_15_6_7_14_11_13_1_5_12_16_3";"23599";"1";"78"
"1";"19912";"1";"6"
"3_11_1_6_14";"23436";"1";"30"
"15_16_5_2_6_9_10_13_3_12_1_4_8";"23600";"1";"78"
"11_4_10_12_1_8_9";"23336";"1";"42"
"13_15_12_11_4_6_1";"23570";"1";"42"
"7_9_13_12_15_5_2_1_6_16_14_8_4_11_10";"23579";"1";"90"
"11_7_6_8_10_5_2_3_14_1_16_15_9_13_4";"23579";"1";"90"
"15_9_10_16_5_8_11_7_13_3_2_4_1_14";"23445";"1";"84"
"4_12_2_16_10_7_14_11_9_1_5_8";"23576";"1";"72"
