"permutations";"#UUIDs";"#classes";"#clone_configs"
"5_15_6_4_1_3_11_13_9_8_2_10_16_7";"23937";"4";"146"
"14_3_12_2_7_15_1_4_11_16_6";"24012";"4";"115"
"16_11_13_4_6_10_12_8_2_7_14_5_9_3_1";"23952";"4";"165"
"1";"18624";"4";"14"
"10_3_16_6_5_1_7_4_11_12_14_2_9_8_13";"23877";"4";"165"
"11_13_7_6_2_10_1_9_14_12_3_8_15_5";"23880";"4";"156"
"6_13_16_2_11_8_15_1_12_3_5_9";"23132";"4";"123"
"10_6_12_16_8_9_1_14_2_15_13_11_3";"23624";"4";"137"
"3_12_4_7_16_9_8_6_1_5_11";"23851";"4";"122"
"11_14_3_6_12_15_1_9";"23534";"4";"86"
"15_3_1";"21529";"4";"35"
"9_4_3_13_8_6_7_12_1_11_10_14";"23267";"4";"136"
"11_9_8_15_3_1_5_2";"23883";"4";"89"
"3_10_15_2_13_6_14_1_4_11_12_7";"23903";"4";"129"
"2_12_11_4_8_9_6_13_15_3_1_14_7_5_10";"23777";"4";"165"
"1_14_8_10_3_7_16_2_13";"23802";"4";"105"
"7_8_13_12_10_5_4_6_15_1";"23797";"4";"111"
"2_10_13_14_3_9_15_12_8_16_1";"23013";"4";"121"
"13_3_5_11_14_1";"23627";"4";"70"
"12_10_8_13_4_6_15_7_3_1";"23069";"4";"112"
"3_8_13_1";"23263";"4";"49"
"1_11_3_15_14_9_16_7_5_13";"22582";"4";"106"
"11_15_8_5_2_7_10_6_3_1";"23750";"4";"114"
"8_4_12_1_14";"22558";"4";"63"
"8_16_1";"20852";"4";"35"
"14_3_7_4_16_1";"22874";"4";"70"
"10_13_14_15_1_4_3_5_11_12_2_7_8";"23349";"4";"149"
"1_7_11";"21982";"4";"36"
"16_4_1_9";"21674";"4";"39"
"14_2_10_12_1_15_3_13_4";"23564";"4";"100"
"1_14_8";"20952";"4";"41"
"1_9_8_16_2_15_6_3_12_10_14";"24098";"4";"121"
"12_3_13_4_6_5_16_2_15_11_10_14_9_1_7";"23759";"4";"158"
"5_8_15_13_1_11";"23048";"4";"64"
"4_13_12_11_16_2_8_6_14_5_1_7_10_15_3";"23721";"4";"163"
"11_1_4_8_12_2_10";"23517";"4";"82"
"10_12_6_7_15_2_1_14_11_13_5_16";"23678";"4";"126"
"4_5_3_11_1_9_16_14_7_10";"23152";"4";"115"
"1_13_12_7_3_5_8_10_6";"23948";"4";"109"
"1";"18611";"4";"14"
"1_2_6_4_10_3_8_16";"22949";"4";"88"
"8_9_15_1_2_11_7_14_3_10_6";"23342";"4";"123"
"11_15_3_6_1_7_16_13_12_5_9_4_10";"23828";"4";"136"
"1_15_9_13_10_6_5_2_3";"23034";"4";"94"
"4_13_1";"22452";"4";"30"
"6_3_10_1_4_13_9_12_5_2_14_16_8";"23582";"4";"143"
"5_7_13_11_12_1_8_2";"23114";"4";"92"
"11_15_13_8_3_7_14_5_12_10_9_16_4_2_1";"23220";"4";"165"
"1_12_13_14_16_4_2_7_6_9_3";"23787";"4";"115"
"1_6";"20523";"4";"21"
"1_8_2_13";"21955";"4";"44"
"6_15_12_16_4_2_9_13_1_3_5_8";"23780";"4";"123"
"5_10_15_7_3_8_9_2_11_13_16_1_6";"23704";"4";"137"
"8_1_9_6_14_16";"22489";"4";"64"
"15_5_1_13";"22455";"4";"41"
"1";"18792";"4";"14"
"2_14_4_13_5_16_7_15_8_12_6_9_11_1_3";"23206";"4";"158"
"5_2_8_1_12_14_9_4";"22704";"4";"94"
"1_3_6_4_9_16_7_15_8";"22680";"4";"94"
"1_12_5";"22238";"4";"40"
"12_10_14_15_8_11_1_2_3_13_16_6_5_7_9";"23276";"4";"163"
"11_7_16_2_1_15_6_5_10_8_3_9_12_4_13";"24085";"4";"159"
"2_3_1_5_10_15_6_8";"23041";"4";"92"
"16_15_1_11_9_4";"22569";"4";"55"
"2_1";"19389";"4";"23"
"1_5";"20177";"4";"27"
"14_5_15_4_9_12_1_10_6";"23280";"4";"99"
"4_6_8_1_11";"22587";"4";"53"
"2_1";"19285";"4";"23"
"11_15_9_1";"22040";"4";"39"
"14_1_16_12_4_10_9_8_7_3_2";"23267";"4";"129"
"10_16_2_8_1_3_7_11_15_12_4";"23953";"4";"123"
"3_7_1";"20879";"4";"41"
"4_11_3_5_13_7_8_14_1_9_2_6_16_10_12";"23237";"4";"165"
"1_3_12_8_7_14_11";"23555";"4";"90"
"16_12_1_2_13_9";"22703";"4";"59"
