"permutations";"#UUIDs";"#classes";"#clone_configs"
"7_9_4_13_10_15_12_16_6_3_5_8_2_11_14_1";"23627";"1";"96"
"14_10_3_15_6_12_9_2_11_5_1_16_8_4_7_13";"23470";"1";"96"
"16_11_10_12_1_14_8_4_15_6_13_7_3_9_2_5";"23447";"1";"96"
"1_12_15_4_10_11_16_3_6_2_7_9_8_5_13_14";"23447";"1";"96"
"3_9_2_5_12_11_16_14_6_4_1_13_10_15_8_7";"23541";"1";"96"
"11_3_16_13_5_8_9_1_4_6_12_14_15_2_10_7";"23447";"1";"96"
"4_14_13_6_2_1_9_15_11_16_3_10_5_8_7_12";"23650";"1";"96"
"11_7_12_16_5_1_10_8_2_15_9_14_6_4_13_3";"23580";"1";"96"
"14_8_15_7_1_6_11_9_4_16_3_5_12_10_2_13";"23494";"1";"96"
"5_13_7_16_9_12_3_11_15_4_1_14_6_10_8_2";"23556";"1";"96"
"1_13_6_4_9_10_8_11_16_12_7_2_5_3_15_14";"23447";"1";"96"
"11_14_10_15_16_12_2_4_13_1_3_6_5_8_7_9";"23580";"1";"96"
"8_6_14_16_3_15_12_10_1_5_9_2_11_13_4_7";"23517";"1";"96"
"12_8_10_4_5_2_7_9_16_13_11_3_1_6_14_15";"23494";"1";"96"
"2_14_13_10_8_6_15_11_12_1_9_4_16_3_7_5";"23580";"1";"96"
"8_3_7_12_16_15_11_5_9_13_6_4_2_1_14_10";"23517";"1";"96"
"14_1_13_9_10_16_6_12_8_2_5_3_7_4_15_11";"23447";"1";"96"
"4_16_6_8_10_13_15_14_7_3_12_1_2_11_5_9";"23493";"1";"96"
"4_13_11_8_15_1_3_14_2_6_12_5_9_16_7_10";"23470";"1";"96"
"9_10_3_5_14_11_8_15_4_7_6_16_1_13_2_12";"23494";"1";"96"
"16_14_9_10_12_7_15_8_6_4_2_11_13_1_5_3";"23556";"1";"96"
"1_8_5_10_6_3_14_4_16_11_12_9_15_2_7_13";"23494";"1";"96"
"9_10_2_11_12_7_6_3_1_5_13_8_15_4_14_16";"23471";"1";"96"
"13_12_3_14_9_7_5_8_2_11_10_4_6_15_1_16";"23470";"1";"96"
"13_7_12_15_8_5_11_14_10_2_9_3_16_6_4_1";"23447";"1";"96"
"3_9_8_7_10_15_1_6_4_13_2_16_5_11_14_12";"23541";"1";"96"
"2_12_11_9_5_13_7_10_1_16_14_4_8_3_15_6";"23580";"1";"96"
"1_16_8_15_4_11_13_5_2_12_7_14_9_6_10_3";"23494";"1";"96"
"8_7_5_1_11_16_13_14_4_3_15_10_2_12_6_9";"23518";"1";"96"
"15_3_6_5_16_11_8_1_7_13_4_2_10_14_12_9";"23517";"1";"96"
"3_15_1_9_16_4_8_7_14_13_5_11_2_6_10_12";"23517";"1";"96"
"8_13_5_16_6_15_10_7_12_2_9_11_1_3_14_4";"23470";"1";"96"
"12_3_11_2_5_1_4_15_9_14_13_7_10_16_6_8";"23471";"1";"96"
"8_9_6_13_16_14_7_15_12_2_11_5_4_10_1_3";"23517";"1";"96"
"1_6_13_14_5_11_2_12_4_9_15_8_16_10_7_3";"23447";"1";"96"
"15_9_11_12_1_14_16_7_2_13_8_10_5_6_4_3";"23556";"1";"96"
"15_7_12_4_8_14_2_10_3_6_11_1_16_13_9_5";"23556";"1";"96"
"3_16_13_8_11_1_15_7_9_5_12_14_2_4_6_10";"23447";"1";"96"
"11_9_6_12_4_5_10_3_16_13_2_1_8_7_14_15";"23579";"1";"96"
"5_1_3_6_10_2_11_13_12_14_4_16_7_15_8_9";"23447";"1";"96"
"5_2_1_12_10_8_4_11_13_16_9_7_6_14_15_3";"23580";"1";"96"
"11_13_7_2_9_4_3_5_8_6_14_16_10_12_1_15";"23556";"1";"96"
"6_3_5_8_9_13_16_11_14_12_2_7_10_4_15_1";"23517";"1";"96"
"6_11_12_5_8_4_16_10_7_13_2_3_14_9_1_15";"23579";"1";"96"
"11_16_9_4_14_12_8_15_10_5_6_7_1_2_13_3";"23556";"1";"96"
"14_8_4_1_9_13_7_16_5_15_11_10_6_12_2_3";"23541";"1";"96"
"16_6_1_13_2_3_4_12_14_11_8_7_5_9_15_10";"23447";"1";"96"
"1_15_11_6_4_7_2_10_3_12_14_13_5_8_9_16";"23447";"1";"96"
"7_12_10_5_8_9_1_15_4_2_14_13_6_11_16_3";"23471";"1";"96"
"5_13_7_10_4_15_8_14_16_11_9_3_1_2_6_12";"23447";"1";"96"
"4_9_5_2_8_3_7_16_15_6_14_13_1_11_10_12";"23650";"1";"96"
"12_2_5_4_10_11_8_15_14_3_1_6_16_9_7_13";"23580";"1";"96"
